epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.455,1.20044,2.04749,2.5807,1.05459,0.0089,0.51149,0.1018,0.04528,0,0,0,0,1.96088,240.742,3.25379,1.54022,0.0946,0.0006,0.0006
2,205.084,1.35745,2.02142,1.86053,1.17853,0.00437,0.25096,0.00436,0.00119,0.0007,0.04023,0.00042,9e-05,2.30247,223.745,3.86729,2.23135,0.0882871,0.00128713,0.00128713
3,297.14,1.54059,2.16209,1.74771,1.31254,0.04523,0.04406,0.0141,0.00542,0.00148,0.08046,0.00088,0.00024,2.0929,105.233,3.77184,1.96583,0.0819604,0.0019604,0.0019604
4,387.607,1.52719,2.08484,1.65392,1.286,0.01353,0.06705,0.01296,0.00573,0.00073,0.02107,0.00038,7e-05,2.09374,157.422,19.1051,3.26214,0.0756198,0.00261981,0.00261981
5,476.723,1.54822,2.14911,1.57315,1.27646,0.00759,0.27395,0.00499,0.0018,0.00027,0.00958,0.00013,2e-05,2.55665,220.595,180.565,5.13379,0.0692654,0.00326536,0.00326536
6,568.273,1.47121,2.03779,1.47579,1.27786,0.00385,0.07663,0.00231,0.00081,0,0,0,0,3.00284,372.722,534.134,13.9036,0.0628971,0.00389705,0.00389705
7,658.56,1.5259,2.13008,1.46378,1.30331,0.00288,0.10345,0.00144,0.00038,0.00018,0.00766,8e-05,2e-05,3.88291,395.376,1038.8,13.4384,0.0565149,0.00451488,0.00451488
8,746.895,1.54532,2.2045,1.48106,1.37504,0.00257,0.14751,0.00162,0.00047,0.00084,0.04598,0.00044,0.00013,3.32414,190.385,1017.64,9.29894,0.0501188,0.00511885,0.00511885
9,836.468,1.54266,2.13638,1.45614,1.32541,0.00335,0.0728,0.00158,0.00051,0.00035,0.01916,0.00017,3e-05,3.32743,80.4937,1138.78,9.70065,0.043709,0.00570896,0.00570896
10,930.289,1.5654,2.21421,1.54828,1.34771,0.0034,0.08621,0.0014,0.0004,0.00083,0.02107,0.0002,5e-05,3.46619,63.821,1242.72,10.9952,0.0372852,0.00628521,0.00628521
11,1029.65,1.49546,2.00488,1.41616,1.33374,0.003,0.0977,0.00132,0.00039,0.00047,0.01533,0.00014,4e-05,4.11508,65.142,1630.83,30.5728,0.0308476,0.0068476,0.0068476
12,1127.44,1.54432,2.12564,1.43268,1.30685,0.00326,0.11111,0.00134,0.00033,0.00129,0.04406,0.00043,0.00011,4.14011,163.598,1814.65,39.7741,0.0243961,0.00739613,0.00739613
13,1226.47,1.58998,2.26332,1.42763,1.33324,0.00359,0.12452,0.00169,0.00048,0.00138,0.04789,0.00049,0.00011,4.07273,111.585,1799.58,30.1959,0.0179308,0.0079308,0.0079308
14,1322.35,1.50034,2.07915,1.32434,1.25635,0.01345,0.50766,0.01042,0.00414,0.00808,0.31034,0.00504,0.00163,2.47507,23.0206,225.186,4.29863,0.0114516,0.00845161,0.00845161
15,1415.22,1.49446,1.98195,1.39029,1.29327,0.01846,0.56322,0.01599,0.00703,0.01367,0.42337,0.0101,0.00364,2.21183,19.992,79.1802,2.98351,0.008614,0.008614,0.008614
16,1505.77,1.47256,2.21522,1.46433,1.2852,0.02008,0.62069,0.01671,0.00686,0.01444,0.45211,0.00995,0.00382,2.35213,19.0545,99.9942,3.95318,0.008515,0.008515,0.008515
